CM_Id,BankName,Type,CharterType,Headquarters,FailureDate,InsuranceFund,TransactionType,TotalDeposits,TotalAssets
CM-2130,american fsb,SAVINGS BANK,STATE,"SANFORD, ME",1/11/1990,RTC,TRANSFER,39793,51797
CM-2131,"horizon savings bank, FSB",SAVINGS BANK,STATE,"WILMETTE, IL",1/11/1990,RTC,ACQUISITION,1102973,
CM-2132,financial fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"FRESNO, CA",1/11/1990,RTC,PAYOUT,33755,31163
CM-2133,deposit trust federal savings,SAVINGS BANK,STATE,"MONROE, LA",1/11/1990,RTC,TRANSFER,91712,97966
CM-2134,wilshire fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"LOS ANGELES, CA",1/11/1990,RTC,PAYOUT,77324,78144
CM-2135,st. charles fsa,SAVINGS ASSOCIATION,FEDERAL/STATE,"ST. CHARLES, IL",1/11/1990,RTC,ACQUISITION,113270,146514
CM-2136,duval federal savings assn.,SAVINGS ASSOCIATION,FEDERAL/STATE,"JACKSONVILLE, FL",1/18/1990,RTC,TRANSFER,861575,1016266
CM-2137,karnes county fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"KARNES CITY, TX",1/18/1990,RTC,TRANSFER,56683,53124
CM-2138,brookhaven fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"BROOKHAVEN, MS",1/18/1990,RTC,ACQUISITION,41976,42729
CM-2139,standard fsa,SAVINGS ASSOCIATION,FEDERAL/STATE,"HOUSTON, TX",1/18/1990,RTC,PAYOUT,15080,13517
CM-2140,marshall fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"MARSHALL, TX",1/18/1990,RTC,ACQUISITION,57793,62047
CM-2141,gem city fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"QUINCY, IL",1/18/1990,RTC,ACQUISITION,232928,290392
CM-2142,frontier federal savings bank,SAVINGS ASSOCIATION,FEDERAL/STATE,"BELLEVILLE, IL",1/18/1990,RTC,ACQUISITION,47565,45338
CM-2143,first fed. savings assoc. of york,SAVINGS ASSOCIATION,FEDERAL/STATE,"YORK, NE",1/18/1990,RTC,ACQUISITION,54885,59744
CM-2144,colonial federal savings assoc.,SAVINGS ASSOCIATION,FEDERAL/STATE,"PRAIRIE VILLAGE, KS",1/18/1990,RTC,ACQUISITION,102389,136400
CM-2145,empire of america fsb,SAVINGS BANK,STATE,"BUFFALO, NY",1/24/1990,RTC,ACQUISITION,8025454,8173572
CM-2146,"farmers state bank of shiro, TEXAS",COMMERCIAL BANK,STATE,"SHIRO, TX",1/25/1990,BIF,ACQUISITION,4399,
CM-2147,williamsburg fs & la,SAVINGS BANK,STATE,"SALT LAKE CITY, UT",1/26/1990,RTC,ACQUISITION,257666,310520
CM-2148,"monroe savings bank, FSB",SAVINGS BANK,STATE,"ROCHESTER, NY",1/26/1990,BIF,ACQUISITION,488802,
CM-2149,creditbank,COMMERCIAL BANK,STATE,"CUTLER RIDGE, FL",1/26/1990,BIF,ACQUISITION,74090,76437
CM-2150,palo duro fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"AMARILLO, TX",1/26/1990,RTC,ACQUISITION,41818,64983
CM-2151,colonial s & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"CAPE GIRARDEAU, MO",1/26/1990,RTC,ACQUISITION,157400,170860
CM-2152,uvalde fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"UVALDE, TX",1/26/1990,RTC,PAYOUT,14318,13262
CM-2153,"fidelity bank, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"SAN ANTONIO, TX",1/26/1990,BIF,TRANSFER,35817,
CM-2154,"banctexas dallas, N.A.",COMMERCIAL BANK,FEDERAL,"DALLAS, TX",1/26/1990,BIF,ACQUISITION,338207,
CM-2155,first savings assoc.,SAVINGS ASSOCIATION,FEDERAL/STATE,"BISMARK, ND",1/26/1990,RTC,TRANSFER,100539,113384
CM-2156,grand prairie fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"STUTTGART, AR",1/26/1990,RTC,PAYOUT,24780,31465
CM-2157,merabank fsb,SAVINGS BANK,STATE,"PHOENIX, AZ",1/31/1990,RTC,ACQUISITION,4803146,6317579
CM-2158,tyler national bank,COMMERCIAL BANK,FEDERAL,"TYLER, TX",2/1/1990,BIF,ACQUISITION,26103,24708
CM-2159,citizens national bank of walnut ridge,COMMERCIAL BANK,FEDERAL,"WALNUT RIDGE, AR",2/2/1990,BIF,ACQUISITION,34098,37524
CM-2160,"pioneer savings bank, FSB",SAVINGS ASSOCIATION,FEDERAL/STATE,"CLEARWATER, FL",2/2/1990,RTC,ACQUISITION,1424005,
CM-2161,commerce bank of tampa,COMMERCIAL BANK,STATE,"TAMPA, FL",2/2/1990,BIF,ACQUISITION,22270,21631
CM-2162,clyde fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"NORTH RIVERSIDE, IL",2/2/1990,RTC,ACQUISITION,563728,574684
CM-2163,"centrust bank, SB",SAVINGS ASSOCIATION,FEDERAL/STATE,"MIAMI, FL",2/2/1990,RTC,ACQUISITION,5894019,
CM-2164,henderson home s & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"HENDERSON, KY",2/2/1990,RTC,ACQUISITION,49827,50377
CM-2165,sentinel fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"PHOENIX, AZ",2/2/1990,RTC,TRANSFER,170574,174915
CM-2166,the first national bank of colbert,COMMERCIAL BANK,FEDERAL,"COLBERT, OK",2/8/1990,BIF,TRANSFER,16539,17910
CM-2167,american federal savings assoc.,SAVINGS ASSOCIATION,FEDERAL/STATE,"DES MOINES, IA",2/9/1990,RTC,ACQUISITION,817908,910668
CM-2168,vermont sa,SAVINGS ASSOCIATION,FEDERAL/STATE,"TIMONIUM, MD",2/9/1990,RTC,ACQUISITION,254328,334886
CM-2169,"abq bank, A FSB",SAVINGS BANK,STATE,"ALBUQUERQUE, NM",2/9/1990,RTC,ACQUISITION,1467840,
CM-2170,liberty savings bank fsb,SAVINGS BANK,STATE,"RANDALLSTOWN, MD",2/9/1990,RTC,TRANSFER,41961,49481
CM-2171,huntington fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"HUNTINGTON BEACH, CA",2/9/1990,RTC,ACQUISITION,120234,120438
CM-2172,fairmont federal savings assoc.,SAVINGS ASSOCIATION,FEDERAL/STATE,"FAIRMONT, MN",2/9/1990,RTC,ACQUISITION,46392,45966
CM-2173,gateway national bank,COMMERCIAL BANK,FEDERAL,"PHOENIX, AZ",2/15/1990,BIF,ACQUISITION,8209,8598
CM-2174,huffman bank,COMMERCIAL BANK,STATE,"HUFFMAN, TX",2/15/1990,BIF,ACQUISITION,21660,22019
CM-2175,northway national bank,COMMERCIAL BANK,FEDERAL,"DALLAS, TX",2/15/1990,BIF,ACQUISITION,23917,19138
CM-2176,state fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"TULSA, OK",2/16/1990,RTC,ACQUISITION,358341,526339
CM-2177,fidelity savings bank,SAVINGS ASSOCIATION,FEDERAL/STATE,"DANVILLE, IL",2/16/1990,RTC,ACQUISITION,16462,16317
CM-2178,heritage fsb,SAVINGS BANK,STATE,"OMAHA, NE",2/16/1990,RTC,ACQUISITION,175737,225004
CM-2179,great american fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"OAK PARK, IL",2/16/1990,RTC,ACQUISITION,736370,1013231
CM-2180,franklin fsa,SAVINGS ASSOCIATION,FEDERAL/STATE,"OTTAWA, KS",2/16/1990,RTC,ACQUISITION,4638598,9258163
CM-2181,western empire fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"YORBA LINDA, CA",2/16/1990,RTC,TRANSFER,318451,406574
CM-2182,freedom sa,SAVINGS ASSOCIATION,FEDERAL/STATE,"COLUMBUS, OH",2/16/1990,RTC,ACQUISITION,311944,360378
CM-2183,"equitable s & la, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,"COLUMBUS, NE",2/16/1990,RTC,ACQUISITION,63656,
CM-2184,the ben franklin fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"PORTLAND, OR",2/21/1990,RTC,ACQUISITION,3222248,4616850
CM-2185,the first state bank of regent,COMMERCIAL BANK,STATE,"REGENT, ND",2/22/1990,BIF,ACQUISITION,9526,9717
CM-2186,texasbanc savings,SAVINGS ASSOCIATION,FEDERAL/STATE,"CONROE, TX",2/23/1990,RTC,TRANSFER,385722,248839
CM-2187,the red river bank,COMMERCIAL BANK,STATE,"RED RIVER, NM",2/23/1990,BIF,ACQUISITION,6550,6530
CM-2188,the bank of ruidoso,COMMERCIAL BANK,STATE,"RUIDOSO, NM",2/23/1990,BIF,ACQUISITION,26459,27843
CM-2189,community federal savings bank,SAVINGS ASSOCIATION,FEDERAL/STATE,"EAST MOLINE, IL",2/23/1990,RTC,ACQUISITION,114164,112025
CM-2190,greenwood fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"GREENWOOD, MS",2/23/1990,RTC,TRANSFER,25564,26663
CM-2191,mercury savings,SAVINGS ASSOCIATION,FEDERAL/STATE,"HUNTINGTON BEACH, CA",2/23/1990,RTC,ACQUISITION,1794178,2158830
CM-2192,nowlin sa,SAVINGS ASSOCIATION,FEDERAL/STATE,"FT. WORTH, TX",2/23/1990,RTC,ACQUISITION,195537,200506
CM-2193,imperial federal savings assoc.,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAN DIEGO, CA",2/23/1990,RTC,ACQUISITION,6615722,9581584
CM-2194,provident sa,SAVINGS ASSOCIATION,FEDERAL/STATE,"CASPER, WY",2/23/1990,RTC,ACQUISITION,200294,244946
CM-2195,first federal sav. assoc./bluefield,SAVINGS ASSOCIATION,FEDERAL/STATE,"BLUEFIELD, WV",2/23/1990,RTC,ACQUISITION,33226,39261
CM-2196,vanguard sb,SAVINGS BANK,STATE,"VANDERGRIEF, PA",2/23/1990,RTC,ACQUISITION,150691,176858
CM-2197,first atlantic s & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"PLAINFIELD, NJ",2/23/1990,RTC,ACQUISITION,1009768,1296682
CM-2198,first standard fed. savings assoc.,SAVINGS ASSOCIATION,FEDERAL/STATE,"FAIRMONT, WV",2/23/1990,RTC,ACQUISITION,75603,77577
CM-2199,frontier fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"WALLA WALLA, WA",2/23/1990,RTC,ACQUISITION,120037,146865
CM-2200,search national bank,COMMERCIAL BANK,FEDERAL,"DALLAS, TX",3/1/1990,BIF,ACQUISITION,22225,21155
CM-2201,community state bank of onalaska,COMMERCIAL BANK,STATE,"ONALASKA, TX",3/1/1990,BIF,ACQUISITION,9611,9685
CM-2202,first national bank of sanger,COMMERCIAL BANK,FEDERAL,"SANGER, TX",3/1/1990,BIF,ACQUISITION,19943,19653
CM-2203,new athens fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW ATHENS, IL",3/2/1990,RTC,ACQUISITION,27643,30419
CM-2204,north carolina fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"CHARLOTTE, NC",3/2/1990,RTC,ACQUISITION,455029,628098
CM-2205,security fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"RICHMOND, VA",3/2/1990,RTC,ACQUISITION,237490,341553
CM-2206,pima s & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"TUCSON, AZ",3/2/1990,RTC,ACQUISITION,2128178,2734063
CM-2207,haven fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"WINTER HAVEN, FL",3/2/1990,RTC,ACQUISITION,146159,172437
CM-2208,citizens national bank,COMMERCIAL BANK,FEDERAL,"DENTON, TX",3/8/1990,BIF,ACQUISITION,16845,16160
CM-2209,university national bank of college statio,COMMERCIAL BANK,FEDERAL,"COLLEGE STATION, TX",3/8/1990,BIF,ACQUISITION,39534,36341
CM-2210,farmers state bank,COMMERCIAL BANK,STATE,"SCHULENBERG, TX",3/8/1990,BIF,ACQUISITION,33426,32735
CM-2211,hiawatha savings & loan,SAVINGS ASSOCIATION,FEDERAL/STATE,"HIAWATHA, KS",3/9/1990,RTC,ACQUISITION,54136,49198
CM-2212,first bank national association,COMMERCIAL BANK,FEDERAL,"CLEVELAND, OH",3/9/1990,BIF,PAYOUT,32147,33087
CM-2213,nassau s & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"PRINCETON, NJ",3/9/1990,RTC,ACQUISITION,275627,313057
CM-2214,yorkwood s & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"MAPLEWOOD, NJ",3/9/1990,RTC,ACQUISITION,191301,205283
CM-2215,peoples fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"BARTLESVILLE, OK",3/9/1990,RTC,TRANSFER,91019,105531
CM-2216,westport federal savings bank,SAVINGS ASSOCIATION,FEDERAL/STATE,"HANFORD, CA",3/9/1990,RTC,PAYOUT,171548,169635
CM-2217,investors savings bank,SAVINGS BANK,STATE,"NASHVILLE, TN",3/9/1990,RTC,ACQUISITION,65839,81110
CM-2218,bank of meeker,COMMERCIAL BANK,STATE,"MEEKER, OK",3/15/1990,BIF,ACQUISITION,15503,15529
CM-2219,liberty city state bank,COMMERCIAL BANK,STATE,"LIBERTY CITY, TX",3/15/1990,BIF,ACQUISITION,15004,15189
CM-2220,independent national bank,COMMERCIAL BANK,FEDERAL,"PHOENIX, AZ",3/15/1990,BIF,ACQUISITION,13523,12417
CM-2221,great american fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"CORINTH, MS",3/16/1990,RTC,PAYOUT,133163,159235
CM-2222,sun federal savings assoc.,SAVINGS BANK,STATE,"FORT DODGE, IA",3/16/1990,RTC,ACQUISITION,18967,24299
CM-2223,whitestone savings,SAVINGS ASSOCIATION,FEDERAL/STATE,"WHITESTONE, NY",3/16/1990,RTC,ACQUISITION,352700,396946
CM-2224,pacific coast s & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAN FRANCISCO, CA",3/16/1990,RTC,ACQUISITION,633168,1040267
CM-2225,lakeland savings bank fsb,SAVINGS BANK,STATE,"DETROIT LAKES, MN",3/16/1990,RTC,TRANSFER,80645,79624
CM-2226,first fs & la of wichita falls,SAVINGS ASSOCIATION,FEDERAL/STATE,"WICHITA FALLS, TX",3/16/1990,RTC,PAYOUT,88145,84836
CM-2227,"united federal savings, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW ORLEANS, LA",3/16/1990,RTC,TRANSFER,43923,
CM-2228,first america fsb,SAVINGS BANK,STATE,"LONGMONT, CO",3/16/1990,RTC,PAYOUT,146818,187366
CM-2229,nasau federal savings & loan,SAVINGS ASSOCIATION,FEDERAL/STATE,"BROOKLYN, NY",3/16/1990,RTC,ACQUISITION,300473,296815
CM-2230,the central national bank of san angelo,COMMERCIAL BANK,FEDERAL,"SAN ANGELO, TX",3/22/1990,BIF,ACQUISITION,148163,147449
CM-2231,community bank,COMMERCIAL BANK,STATE,"NEW CANEY, TX",3/22/1990,BIF,ACQUISITION,42089,41952
CM-2232,american bank of arlington,COMMERCIAL BANK,STATE,"ARLINGTON, TX",3/22/1990,BIF,ACQUISITION,28823,28327
CM-2233,"the waller bank, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"WALLER, TX",3/22/1990,BIF,ACQUISITION,13677,
CM-2234,miami national bank,COMMERCIAL BANK,FEDERAL,"MIAMI, FL",3/22/1990,BIF,ACQUISITION,45124,46399
CM-2235,"crown bank, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"SAN ANTONIO, TX",3/29/1990,BIF,ACQUISITION,21927,
CM-2236,first national bank of garland,COMMERCIAL BANK,FEDERAL,"GARLAND, TX",3/29/1990,BIF,ACQUISITION,10071,9394
CM-2237,alvord national bank,COMMERCIAL BANK,FEDERAL,"ALVORD, TX",3/29/1990,BIF,ACQUISITION,7663,7616
CM-2238,imperial bank,COMMERCIAL BANK,STATE,"CORAL GABLES, FL",3/30/1990,BIF,ACQUISITION,23983,23166
CM-2239,everman national bank of fort worth,COMMERCIAL BANK,FEDERAL,"FORT WORTH, TX",3/30/1990,BIF,ACQUISITION,65547,65941
CM-2240,first bank & trust company,COMMERCIAL BANK,STATE,"CEDAR HILL, TX",4/5/1990,BIF,ACQUISITION,13101,13788
CM-2241,"colony savings bank, FSB",SAVINGS BANK,STATE,"MONACA, PA",4/5/1990,RTC,ACQUISITION,330654,
CM-2242,champions point national bank,COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",4/5/1990,BIF,ACQUISITION,19513,20581
CM-2243,first federal savings & loan,SAVINGS ASSOCIATION,FEDERAL/STATE,"WARNER ROBINS, GA",4/12/1990,RTC,ACQUISITION,144101,150053
CM-2244,constitution fed. savings assoc.,SAVINGS ASSOCIATION,FEDERAL/STATE,"MONTEREY PARK, CA",4/12/1990,RTC,PAYOUT,64763,66415
CM-2245,the bazine state bank,COMMERCIAL BANK,STATE,"BAZINE, KS",4/12/1990,BIF,ACQUISITION,16509,16940
CM-2246,"the seamen's bank of savings, FS",SAVINGS BANK,STATE,"NEW YORK, NY",4/18/1990,BIF,ACQUISITION,2141918,
CM-2247,corinth deposit national bank,COMMERCIAL BANK,FEDERAL,"CORINTH, KY",4/19/1990,BIF,ACQUISITION,8652,8744
CM-2248,cove state bank,COMMERCIAL BANK,STATE,"COPPERAS COVE, TX",4/19/1990,BIF,ACQUISITION,37464,37343
CM-2249,chas. schreiner bank,COMMERCIAL BANK,STATE,"KERRVILLE, TX",4/19/1990,BIF,ACQUISITION,232549,228079
CM-2250,first state bank of crandall,COMMERCIAL BANK,STATE,"CRANDALL, TX",4/19/1990,BIF,ACQUISITION,15627,15830
CM-2251,security national bank of elgin,COMMERCIAL BANK,FEDERAL,"ELGIN, TX",4/19/1990,BIF,ACQUISITION,10710,10839
CM-2252,acadiana national bank,COMMERCIAL BANK,FEDERAL,"LAFAYETTE, LA",4/19/1990,BIF,ACQUISITION,33030,33510
CM-2253,first savings & loan,SAVINGS ASSOCIATION,FEDERAL/STATE,"MASSILON, OH",4/20/1990,RTC,ACQUISITION,157855,168158
CM-2254,southeastern federal savings bank,SAVINGS ASSOCIATION,FEDERAL/STATE,"LAUREL, MS",4/20/1990,RTC,TRANSFER,38391,49813
CM-2255,heritage fsa,SAVINGS ASSOCIATION,FEDERAL/STATE,"LAMAR, CO",4/20/1990,RTC,ACQUISITION,44335,45859
CM-2256,texas fsa,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAN ANTONIO, TX",4/20/1990,RTC,PAYOUT,60497,55368
CM-2257,first network savings bank,SAVINGS ASSOCIATION,FEDERAL/STATE,"LOS ANGELES, CA",4/20/1990,RTC,PAYOUT,393643,303826
CM-2258,enterprise fed. fsa,SAVINGS ASSOCIATION,FEDERAL/STATE,"CLEARWATER, FL",4/20/1990,RTC,ACQUISITION,45095,62602
CM-2259,bergen park national bank,COMMERCIAL BANK,FEDERAL,"EVERGREEN, CO",4/20/1990,BIF,ACQUISITION,5896,5769
CM-2260,central arizona bank,COMMERCIAL BANK,STATE,"CHANDLER, AZ",4/26/1990,BIF,ACQUISITION,7083,6644
CM-2261,trinity national bank of dallas,COMMERCIAL BANK,FEDERAL,"DALLAS, TX",4/26/1990,BIF,ACQUISITION,37505,37140
CM-2262,"signature bank, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"DALLAS, TX",4/26/1990,BIF,ACQUISITION,27398,
CM-2263,guardian bank,COMMERCIAL BANK,STATE,"SCOTTSDALE, AZ",4/26/1990,BIF,ACQUISITION,27020,25901
CM-2264,home owners savings bank,SAVINGS BANK,STATE,"BURLINGTON, MA",4/27/1990,RTC,ACQUISITION,2701444,3491516
CM-2265,santa barbara s & l assoc.,SAVINGS ASSOCIATION,FEDERAL/STATE,"SANTA BARBARA, CA",4/27/1990,RTC,ACQUISITION,1744298,4291640
CM-2266,"first national bank, NORTHEAST",COMMERCIAL BANK,FEDERAL,"AUSTIN, TX",5/3/1990,BIF,ACQUISITION,18699,
CM-2267,richardson national bank,COMMERCIAL BANK,FEDERAL,"RICHARDSON, TX",5/3/1990,BIF,ACQUISITION,59061,50460
CM-2268,capitol federal savings & loan,SAVINGS ASSOCIATION,FEDERAL/STATE,"AURORA, CO",5/4/1990,RTC,ACQUISITION,794367,980569
CM-2269,first fed. savings bank & trust,SAVINGS BANK,STATE,"INDEPENDENCE, MO",5/4/1990,RTC,TRANSFER,21072,25410
CM-2270,peninsula s & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"SOUTH SAN FRANCISCO, CA",5/4/1990,RTC,TRANSFER,46145,51805
CM-2271,security federal savings bank,SAVINGS BANK,STATE,"CARLSBAD, NM",5/4/1990,RTC,TRANSFER,34154,26863
CM-2272,tucker state bank,COMMERCIAL BANK,STATE,"JACKSONVILLE, FL",5/4/1990,BIF,ACQUISITION,43458,41759
CM-2273,mutual aide s & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"MANASQUAN, NJ",5/4/1990,RTC,ACQUISITION,105011,103314
CM-2274,"mississippi savings bank, FSB",SAVINGS BANK,STATE,"BATESVILLE, MS",5/8/1990,RTC,PAYOUT,148703,
CM-2275,chancery national bank,COMMERCIAL BANK,FEDERAL,"DENVER, CO",5/9/1990,BIF,ACQUISITION,14917,15234
CM-2276,first national bank of desoto,COMMERCIAL BANK,FEDERAL,"DESOTO, TX",5/10/1990,BIF,ACQUISITION,26512,24070
CM-2277,dominion national bank of denver,COMMERCIAL BANK,FEDERAL,"DENVER, CO",5/10/1990,BIF,ACQUISITION,14568,15317
CM-2278,first national bank of grand saline,COMMERCIAL BANK,FEDERAL,"GRAND SALINE, TX",5/10/1990,BIF,ACQUISITION,28669,28574
CM-2279,commonwealth national bank,COMMERCIAL BANK,FEDERAL,"DALLAS, TX",5/10/1990,BIF,ACQUISITION,45691,44494
CM-2280,great west federal savings bank,SAVINGS BANK,STATE,"CRAIG, CO",5/11/1990,RTC,ACQUISITION,31038,28089
CM-2281,"united savings bank, FSB",SAVINGS BANK,STATE,"WINDOM, MN",5/11/1990,RTC,TRANSFER,133233,
CM-2282,the federal savings banc fa,SAVINGS ASSOCIATION,FEDERAL/STATE,"ARLINGTON, TX",5/11/1990,RTC,PAYOUT,124286,137288
CM-2283,first fsa of breaux bridge,SAVINGS ASSOCIATION,FEDERAL/STATE,"BREAUX BRIDGE, LA",5/11/1990,RTC,ACQUISITION,20901,20360
CM-2284,united savings fsb,SAVINGS ASSOCIATION,FEDERAL/STATE,"PATERSON, NJ",5/15/1990,RTC,PAYOUT,244812,245785
CM-2285,the first national bank of georgetown,COMMERCIAL BANK,FEDERAL,"GEORGETOWN, TX",5/17/1990,BIF,ACQUISITION,70280,71615
CM-2286,first-taylor national bank,COMMERCIAL BANK,FEDERAL,"TAYLOR, TX",5/17/1990,BIF,ACQUISITION,79791,74001
CM-2287,"merchantsbank of boston, A CO-OP",SAVINGS BANK,STATE,"BOSTON, MA",5/18/1990,BIF,TRANSFER,390997,
CM-2288,first fsa,SAVINGS ASSOCIATION,FEDERAL/STATE,"BORGER, TX",5/18/1990,RTC,ACQUISITION,53681,63198
CM-2289,jennings fsa,SAVINGS ASSOCIATION,FEDERAL/STATE,"JENNINGS, LA",5/18/1990,RTC,TRANSFER,55946,54070
CM-2290,first federal savings of conroe,SAVINGS ASSOCIATION,FEDERAL/STATE,"CONROE, TX",5/18/1990,RTC,ACQUISITION,146206,174251
CM-2291,southwest savings association,SAVINGS ASSOCIATION,FEDERAL/STATE,"DALLAS, TX",5/18/1990,RTC,ACQUISITION,3767794,5325053
CM-2292,jonesboro federal sa,SAVINGS ASSOCIATION,FEDERAL/STATE,"JONESBORO, LA",5/18/1990,RTC,PAYOUT,54058,55046
CM-2293,farmers state bank of brookshire,COMMERCIAL BANK,STATE,"BROOKSHIRE, TX",5/24/1990,BIF,ACQUISITION,19590,19438
CM-2294,"memorial bank, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",5/24/1990,BIF,ACQUISITION,73263,
CM-2295,midway national bank,COMMERCIAL BANK,FEDERAL,"DALLAS, TX",5/24/1990,BIF,ACQUISITION,17059,16389
CM-2296,gentry county bank,COMMERCIAL BANK,STATE,"ALBANY, MO",5/24/1990,BIF,ACQUISITION,46328,42268
CM-2297,first american federal savings,SAVINGS BANK,STATE,"FORT SMITH, AR",5/25/1990,RTC,ACQUISITION,444172,450689
CM-2298,first federal savings & loan,SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW BRAUNFELS, TX",5/25/1990,RTC,TRANSFER,209021,232334
CM-2299,remington federal savings assoc.,SAVINGS ASSOCIATION,FEDERAL/STATE,"ELGIN, TX",5/25/1990,RTC,PAYOUT,113909,127005
CM-2300,"bank usa, FEDERAL ASSOCIATION",SAVINGS ASSOCIATION,FEDERAL/STATE,"SILVIS, IL",5/25/1990,RTC,TRANSFER,20859,
CM-2301,american pioneer savings bank,SAVINGS ASSOCIATION,FEDERAL/STATE,"ORLANDO, FL",5/25/1990,RTC,ACQUISITION,1375875,1613793
CM-2302,the huntsville national bank,COMMERCIAL BANK,FEDERAL,"HUNTSVILLE, TX",5/31/1990,BIF,ACQUISITION,107969,107169
CM-2303,"the wilshire bank, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"LOS ANGELES, CA",5/31/1990,BIF,ACQUISITION,23915,
CM-2304,rocky mountain national bank,COMMERCIAL BANK,FEDERAL,"DENVER, CO",5/31/1990,BIF,ACQUISITION,8860,9203
CM-2305,"nbc bank- south texas, NATIONAL",COMMERCIAL BANK,FEDERAL,"CORPUS CHRISTI, TX",6/1/1990,BIF,ACQUISITION,126492,
CM-2306,"nbc bank-houston, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",6/1/1990,BIF,ACQUISITION,284619,
CM-2307,"nbc bank-austin, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"AUSTIN, TX",6/1/1990,BIF,ACQUISITION,41824,
CM-2308,"nbc bank-kerrville, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"KERRVILLE, TX",6/1/1990,BIF,ACQUISITION,30750,
CM-2309,time fs & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAN FRANCISCO, CA",6/1/1990,RTC,ACQUISITION,53942,57943
CM-2310,"nbc bank-san antonio, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"SAN ANTONIO, TX",6/1/1990,BIF,ACQUISITION,877566,
CM-2311,"nbc bank-seguin, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"SEGUIN, TX",6/1/1990,BIF,ACQUISITION,68258,
CM-2312,"nbc bank-rio grande valley, NA",COMMERCIAL BANK,FEDERAL,"MISSION, TX",6/1/1990,BIF,ACQUISITION,135221,
CM-2313,"nbc bank-uvalde, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"UVALDE, TX",6/1/1990,BIF,ACQUISITION,36165,
CM-2314,mutual s & la,SAVINGS ASSOCIATION,FEDERAL/STATE,"WEATHERFORD, TX",6/1/1990,RTC,PAYOUT,93295,104774
CM-2315,first annapolis savings,SAVINGS BANK,STATE,"ANNAPOLIS, MD",6/1/1990,RTC,TRANSFER,618270,720116
CM-2316,investors of florida,SAVINGS ASSOCIATION,FEDERAL/STATE,"DEERFIELD BEACH, FL",6/1/1990,RTC,ACQUISITION,244856,282574
CM-2317,great life fsa,SAVINGS ASSOCIATION,FEDERAL/STATE,"SUNRISE, FL",6/1/1990,RTC,ACQUISITION,36325,42727
CM-2318,the home national bank of milford,COMMERCIAL BANK,FEDERAL,"MILFORD, MA",6/1/1990,BIF,ACQUISITION,436259,461659
